,Country,Crop,Year,average_rainfall_in_mm_per_year,pesticides_in_tons_used,avg_temp,hg/ha_yield
2339,Bangladesh,"Rice, paddy",2011,2666.0,14798.28,25.8,43917
9895,Guyana,"Rice, paddy",1999,2387.0,289.9,27.16,38246
20273,Mexico,Potatoes,2011,758.0,65961.1,25.28,262734
13020,India,Potatoes,2005,1083.0,35342.0,25.77,188908
27342,Uganda,Potatoes,2012,1180.0,88.0,24.03,49440
3522,Brazil,Yams,1999,1761.0,127585.0,20.04,92000
24723,South Africa,Maize,1996,495.0,19508.0,20.49,27043
17522,Kenya,Maize,2002,630.0,1578.0,16.61,15126
2739,Brazil,Yams,1991,1761.0,58349.44,25.06,91353
18408,Malawi,Potatoes,2013,1181.0,1500.27,19.68,175414
13269,India,Soybeans,2006,1083.0,37423.0,26.94,10628
19328,Mexico,Sorghum,1995,758.0,34468.93,21.5,30385
19881,Mexico,Maize,2005,758.0,51741.99,25.18,29276
11521,India,Sweet potatoes,1995,1083.0,61257.0,26.62,80643
984,Australia,Potatoes,1994,534.0,21057.0,11.6,294270
3713,Brazil,Wheat,2001,1761.0,151523.0,20.96,19488
24391,Senegal,Sorghum,1999,686.0,470.87,24.93,6405
10696,India,Cassava,1991,1083.0,72133.0,24.62,218925
5098,Burkina Faso,Soybeans,2008,748.0,190.92,28.4,27290
2849,Brazil,Cassava,1993,1761.0,75658.33,25.41,120628
9249,Ghana,"Rice, paddy",2004,1187.0,134.25,27.02,20253
553,Argentina,Cassava,2001,591.0,63700.17,17.71,100000
15900,Italy,"Rice, paddy",2005,832.0,84647.0,7.33,63074
13422,India,Sorghum,2007,1083.0,27422.77,25.58,8443
20233,Mexico,Soybeans,2010,758.0,63402.29,25.04,10925
560,Argentina,"Rice, paddy",2001,591.0,63700.17,18.42,57495
17272,Kazakhstan,Potatoes,2002,250.0,3361.84,4.77,139278
17425,Kenya,"Rice, paddy",1992,630.0,3469.0,16.34,35362
7839,Ecuador,Maize,2005,2274.0,18391.23,21.82,21232
13325,India,Cassava,2007,1083.0,27422.77,26.58,322204
8186,Egypt,Soybeans,1997,51.0,4607.0,21.45,26223
16566,Japan,Maize,1999,1668.0,79821.18,13.78,24000
22649,Pakistan,Maize,2006,494.0,6925.13,27.29,30368
24135,Rwanda,Sorghum,2012,1212.0,925.52,19.79,14277
20550,Morocco,Soybeans,1995,346.0,11399.71,18.72,13367
2122,Bangladesh,"Rice, paddy",1993,2666.0,1487.0,25.73,27185
26528,Turkey,Maize,1990,593.0,29918.0,14.01,40803
17062,Japan,Yams,2011,1668.0,51796.3,15.38,220905
3533,Brazil,Cassava,2000,1761.0,140423.0,20.32,134815
19382,Mexico,Potatoes,1996,758.0,34468.93,21.08,204570
24298,Saudi Arabia,Sorghum,2009,59.0,4528.51,26.71,26312
3139,Brazil,Cassava,1996,1761.0,101621.67,17.83,117588
5994,Canada,Potatoes,2008,537.0,53707.3,5.62,126065
3814,Brazil,Wheat,2002,1761.0,145552.0,19.49,14754
23262,Papua New Guinea,Yams,2006,3142.0,105.0,25.04,165000
1873,Azerbaijan,Sorghum,1992,447.0,148.68,10.93,578
5752,Canada,Potatoes,1997,537.0,38258.2,6.72,111195
5725,Canada,Maize,1996,537.0,35240.8,4.66,69141
11936,India,Maize,1998,1083.0,49157.0,26.01,17969
26301,Thailand,Wheat,1990,1622.0,18849.0,27.96,6107
15453,Iraq,Potatoes,1996,216.0,616.0,20.13,177576
9279,Ghana,Sweet potatoes,2008,1187.0,350.83,26.98,15759
22487,Pakistan,Sorghum,2002,494.0,10881.83,27.88,5989
18849,Mauritania,Sorghum,2010,92.0,67.59,28.7,5094
3290,Brazil,Soybeans,1997,1761.0,110276.11,21.91,22977
632,Argentina,Wheat,2006,591.0,65872.12,18.35,25302
14536,India,Wheat,2013,1083.0,45620.0,28.85,31538
2752,Brazil,Maize,1992,1761.0,67003.89,20.21,22828
13512,India,Cassava,2008,1083.0,14485.33,24.51,335407
15284,Indonesia,Potatoes,2011,2702.0,1597.0,27.19,159562
20708,Morocco,Wheat,2007,346.0,13697.0,17.99,6154
25645,Spain,Potatoes,2012,636.0,48668.0,17.65,304387
10644,India,Sweet potatoes,1990,1083.0,75000.0,25.77,79663
1733,Australia,Maize,2013,534.0,45177.18,20.14,64441
17177,Kazakhstan,"Rice, paddy",1994,250.0,17182.0,6.04,27937
27344,Uganda,Sorghum,2012,1180.0,88.0,24.03,9008
13623,India,Soybeans,2008,1083.0,14485.33,26.83,10415
16193,Japan,Potatoes,1990,1668.0,79821.18,16.17,306736
17289,Kazakhstan,Soybeans,2004,250.0,3802.92,7.52,14630
28068,Zimbabwe,Potatoes,1991,657.0,6753.0,20.95,156839
3842,Brazil,Maize,2004,1761.0,214725.0,17.88,33671
1509,Australia,Soybeans,2007,534.0,32446.25,18.02,19730
10002,Haiti,Plantains and others,1993,1440.0,6.96,26.78,65854
23083,Pakistan,Wheat,2012,494.0,990.09,26.75,27138
7866,Ecuador,Maize,2006,2274.0,7953.42,22.09,18776
3933,Brazil,Cassava,2005,1761.0,232232.0,20.78,136059
11030,India,Cassava,1993,1083.0,66388.0,25.88,230430
22644,Pakistan,Wheat,2005,494.0,7914.31,26.04,25858
4735,Brazil,Maize,2013,1761.0,367778.0,27.71,52536
22219,Pakistan,Potatoes,1998,494.0,18406.0,27.36,136186
15194,Indonesia,Sweet potatoes,2008,2702.0,1597.0,27.03,107743
24589,South Africa,Potatoes,1991,495.0,16582.0,18.86,200188
23539,Poland,Wheat,1996,600.0,9824.0,6.71,34574
7038,Croatia,Soybeans,2013,1113.0,1836.21,11.58,23606
19126,Mexico,Potatoes,1992,758.0,34468.93,21.0,168178
24777,South Africa,Wheat,1997,495.0,21596.0,18.64,17575
22879,Pakistan,Soybeans,2009,494.0,3957.61,19.3,6078
462,Argentina,Potatoes,1995,591.0,37842.0,17.62,274272
4679,Brazil,Soybeans,2012,1761.0,346583.0,18.8,26366
6674,Colombia,"Rice, paddy",1998,3240.0,60687.0,23.07,47116
9202,Ghana,Sweet potatoes,1996,1187.0,1575.5,26.61,13596
2444,Belgium,Wheat,2001,847.0,8529.07,10.94,80475
21694,Norway,Potatoes,2010,1414.0,698.98,1.3,251662
15938,Italy,Maize,2008,832.0,79643.0,7.91,95726
10459,Hungary,Wheat,2006,589.0,11523.0,10.67,40719
6344,Chile,Potatoes,1995,1522.0,15373.0,6.4,152200
16693,Japan,Potatoes,2002,1668.0,70262.54,16.09,334130
11761,India,Maize,1997,1083.0,52279.0,25.09,17111
11722,India,Wheat,1996,1083.0,56114.0,25.79,24828
26876,Turkey,Wheat,2004,593.0,28831.0,10.99,22658
12718,India,Sorghum,2002,1083.0,42482.56,25.58,7602
3935,Brazil,Cassava,2005,1761.0,232232.0,19.42,136059
22890,Pakistan,Wheat,2009,494.0,3957.61,25.37,26568
8104,Egypt,Sweet potatoes,1991,51.0,8255.0,21.65,270456
25922,Suriname,Soybeans,1994,2331.0,178.5,26.82,7458
24104,Rwanda,Cassava,2009,1212.0,1187.6,19.84,112077
38,Albania,Wheat,1997,1485.0,376.93,15.9,28516
20706,Morocco,Sweet potatoes,2007,346.0,13697.0,17.99,178351
3371,Brazil,"Rice, paddy",1998,1761.0,118930.56,28.76,25198
18092,Madagascar,Potatoes,1994,1513.0,76.15,19.96,58442
13282,India,Sweet potatoes,2006,1083.0,37423.0,27.47,86849
9959,Guyana,Maize,2011,2387.0,400.76,27.43,13868
20519,Morocco,Sorghum,1993,346.0,10585.43,16.94,7545
21467,Nicaragua,"Rice, paddy",2010,2280.0,12242.19,27.01,51406
11955,India,Potatoes,1998,1083.0,49157.0,27.48,146020
4759,Brazil,"Rice, paddy",2013,1761.0,367778.0,27.11,50071
20959,Namibia,Wheat,1991,285.0,39.0,19.92,59000
2236,Bangladesh,Wheat,2002,2666.0,2954.29,26.1,21644
22978,Pakistan,Potatoes,2011,494.0,1979.27,19.53,219196
12746,India,Sweet potatoes,2002,1083.0,42482.56,26.66,85694
7476,Ecuador,Soybeans,1990,2274.0,2537.0,21.82,19873
20250,Mexico,Wheat,2010,758.0,63402.29,19.62,54185
12167,India,"Rice, paddy",1999,1083.0,46195.0,25.97,29782
15220,Indonesia,"Rice, paddy",2009,2702.0,1597.0,26.98,49985
7242,Dominican Republic,"Rice, paddy",1999,1410.0,5398.0,26.66,45422
1099,Australia,Wheat,1996,534.0,31185.0,13.05,21673
18371,Malawi,Soybeans,2008,1181.0,624.52,20.42,8722
26605,Turkey,Potatoes,1993,593.0,28042.0,18.82,242315
6821,Colombia,Soybeans,2007,3240.0,82439.06,27.45,20000
8058,Ecuador,Plantains and others,2013,2274.0,6471.77,21.69,49591
7996,Ecuador,Wheat,2010,2274.0,31637.12,17.79,8912
11057,India,Maize,1993,1083.0,66388.0,25.75,16015
8497,El Salvador,Cassava,2002,1784.0,2388.47,26.12,128120
17411,Kenya,Cassava,1991,630.0,3469.0,16.26,100000
15211,Indonesia,Potatoes,2009,2702.0,1597.0,27.31,165123
23542,Poland,Wheat,1997,600.0,9501.0,7.81,32064
11837,India,Sorghum,1997,1083.0,52279.0,25.46,6920
18794,Mauritania,Sweet potatoes,2001,92.0,39.09,28.28,10004
13346,India,Maize,2007,1083.0,27422.77,26.15,23352
24333,Senegal,Cassava,1990,686.0,384.0,25.13,35159
11029,India,Wheat,1992,1083.0,70791.0,25.89,23940
4477,Brazil,Sorghum,2010,1761.0,342580.0,25.78,23172
9203,Ghana,Yams,1996,1187.0,1575.5,26.61,127793
25175,South Africa,Potatoes,2013,495.0,26857.0,21.31,353546
15335,Indonesia,Soybeans,2012,2702.0,1597.0,27.48,14854
3723,Brazil,Yams,2001,1761.0,151523.0,27.69,90385
9112,Germany,Wheat,2009,700.0,39289.43,5.89,78091
4301,Brazil,Sweet potatoes,2008,1761.0,312637.0,25.54,120398
22709,Pakistan,Wheat,2006,494.0,6925.13,23.28,25186
9574,Guatemala,Maize,2001,1996.0,10023.42,19.62,20681
14854,Indonesia,Potatoes,1998,2702.0,1597.0,27.28,153432
17403,Kenya,Plantains and others,1990,630.0,3469.0,15.94,125000
23709,Portugal,Wheat,2009,854.0,13984.91,16.84,17008
13918,India,"Rice, paddy",2010,1083.0,40093.69,26.52,33587
4035,Brazil,Cassava,2006,1761.0,238716.0,26.26,140463
141,Algeria,Sorghum,1998,89.0,322.84,17.14,24500
27751,Uruguay,Sorghum,1995,1300.0,2413.02,16.66,31881
10195,Honduras,Plantains and others,1994,1976.0,3160.91,24.87,171911
8641,Eritrea,Maize,2008,383.0,27.63,24.79,2123
3011,Brazil,Sweet potatoes,1994,1761.0,84312.78,19.15,113070
16094,Jamaica,Plantains and others,2000,2051.0,909.71,26.96,169825
20217,Mexico,"Rice, paddy",2010,758.0,63402.29,25.04,51901
27109,Turkey,Sorghum,2012,593.0,42610.59,18.54,76000
16057,Jamaica,Cassava,1995,2051.0,1445.12,27.4,205018
4550,Brazil,Potatoes,2011,1761.0,345026.0,27.29,262528
4099,Brazil,Sweet potatoes,2006,1761.0,238716.0,27.34,116902
22041,Pakistan,"Rice, paddy",1995,494.0,7681.0,26.09,27522
26467,Tunisia,Wheat,1993,207.0,909.0,18.9,13700
3930,Brazil,Cassava,2005,1761.0,232232.0,18.53,136059
14433,India,Potatoes,2013,1083.0,45620.0,26.79,227606
21852,Pakistan,"Rice, paddy",1992,494.0,5518.0,25.71,23686
25324,Spain,Wheat,1995,636.0,27852.0,17.66,14761
9697,Guinea,Plantains and others,1992,1651.0,80.0,27.02,51923
18010,Lithuania,Maize,1997,656.0,928.0,6.29,14708
4808,Brazil,Yams,2013,1761.0,367778.0,21.59,96078
25713,Sri Lanka,Sweet potatoes,1993,1712.0,1753.2,26.37,68502
23195,Papua New Guinea,Potatoes,1996,3142.0,105.0,25.41,42500
23271,Papua New Guinea,Maize,2008,3142.0,105.0,25.17,45455
8074,Ecuador,Sweet potatoes,2013,2274.0,6471.77,17.28,19113
11912,India,Cassava,1998,1083.0,49157.0,26.35,252815
13700,India,Maize,2009,1083.0,28707.01,28.03,20238
12290,India,Maize,2000,1083.0,44957.52,26.05,18216
23985,Rwanda,Wheat,1994,1212.0,157.8,19.55,11852
11864,India,Soybeans,1997,1083.0,52279.0,26.53,10789
3898,Brazil,Sweet potatoes,2004,1761.0,214725.0,17.88,114957
23314,Peru,Plantains and others,1990,1738.0,3134.0,16.84,121397
23130,Pakistan,Soybeans,2013,494.0,0.92,27.38,7222
4248,Brazil,Potatoes,2008,1761.0,312637.0,20.22,253729
3815,Brazil,Wheat,2002,1761.0,145552.0,26.01,14754
26140,Switzerland,Soybeans,2006,1537.0,1359.04,8.19,26667
11229,India,Maize,1994,1083.0,61357.0,26.74,14480
242,Angola,Wheat,1994,1010.0,25.5,24.04,10000
20889,Mozambique,Sweet potatoes,2004,1032.0,572.99,21.89,72000
24167,Saudi Arabia,Potatoes,1992,59.0,994.0,24.74,160109
21284,New Zealand,Maize,2007,1732.0,4939.0,13.44,109000
22583,Pakistan,Wheat,2004,494.0,8903.48,23.78,23733
9095,Germany,Soybeans,2008,700.0,43413.01,10.66,10000
16316,Japan,Potatoes,1993,1668.0,79821.18,12.49,304856
15350,Indonesia,Maize,2013,2702.0,1597.0,27.88,48441
5795,Canada,Maize,1999,537.0,44293.0,9.53,79747
18369,Malawi,"Rice, paddy",2008,1181.0,624.52,20.42,18200
4091,Brazil,Soybeans,2006,1761.0,238716.0,24.57,23796
15371,Indonesia,Soybeans,2013,2702.0,1597.0,27.3,14161
3187,Brazil,Sorghum,1996,1761.0,101621.67,18.63,18118
12172,India,"Rice, paddy",1999,1083.0,46195.0,26.96,29782
26072,Sweden,Potatoes,2011,624.0,1781.0,8.18,319681
3564,Brazil,Potatoes,2000,1761.0,140423.0,25.35,171813
26544,Turkey,Soybeans,1990,593.0,29918.0,17.94,21892
1859,Austria,Wheat,2011,1110.0,3441.5,9.42,58549
18984,Mexico,Maize,1990,758.0,34468.93,21.46,19942
4600,Brazil,Wheat,2011,1761.0,345026.0,20.33,26602
22850,Pakistan,Potatoes,2009,494.0,3957.61,25.37,202848
9859,Guyana,"Rice, paddy",1991,2387.0,289.9,26.95,33427
2560,Brazil,Maize,1990,1761.0,49695.0,18.47,18735
14589,Indonesia,Cassava,1991,2702.0,3259.0,27.05,120946
11548,India,Wheat,1995,1083.0,61257.0,24.04,25590
27589,United Kingdom,Wheat,2000,1220.0,33031.28,9.97,80075
23851,Romania,Wheat,1997,637.0,15349.0,10.46,30103
10851,India,Wheat,1991,1083.0,72133.0,26.7,22814
6343,Chile,Potatoes,1995,1522.0,15373.0,13.02,152200
19996,Mexico,Wheat,2006,758.0,50891.95,19.53,52274
17045,Japan,Soybeans,2011,1668.0,51796.3,15.43,16006
16847,Japan,Wheat,2006,1668.0,65248.26,15.45,38351
2705,Brazil,Soybeans,1991,1761.0,58349.44,24.25,15533
7662,Ecuador,Sorghum,1997,2274.0,7612.0,22.88,17111
24348,Senegal,"Rice, paddy",1992,686.0,384.0,25.09,24065
3003,Brazil,Soybeans,1994,1761.0,84312.78,25.42,21632
6096,Canada,Soybeans,2012,537.0,73508.9,7.09,30294
17001,Japan,Soybeans,2010,1668.0,55576.0,16.01,16158
24315,Saudi Arabia,Wheat,2011,59.0,4840.3,26.57,61429
1806,Austria,Maize,1998,1110.0,3340.3,9.01,96100
2683,Brazil,"Rice, paddy",1991,1761.0,58349.44,24.25,23020
18613,Mali,Yams,2001,282.0,15.36,27.79,100822
6178,Central African Republic,Yams,1996,1342.0,22.87,25.32,66038
14070,India,Potatoes,2011,1083.0,55540.0,25.36,227240
25058,South Africa,Wheat,2008,495.0,26857.0,15.75,28476
23670,Portugal,Potatoes,2002,854.0,17452.0,16.19,161642
11669,India,Soybeans,1996,1083.0,56114.0,27.06,10319
16018,Italy,Sweet potatoes,2013,832.0,55633.0,8.04,227753
22516,Pakistan,Wheat,2002,494.0,10881.83,27.2,22621
5796,Canada,Maize,1999,537.0,44293.0,6.71,79747
12433,India,Wheat,2000,1083.0,44957.52,27.08,27785
15641,Iraq,Wheat,2012,216.0,1979.27,20.7,24181
22232,Pakistan,"Rice, paddy",1998,494.0,18406.0,23.11,28930
12003,India,Sorghum,1998,1083.0,49157.0,26.12,8592
7771,Ecuador,Sorghum,2001,2274.0,7344.0,17.39,14384
4980,Burkina Faso,Yams,1992,748.0,29.1,28.06,11475
9562,Guatemala,Sweet potatoes,1999,1996.0,10249.94,19.44,66667
22710,Pakistan,Maize,2007,494.0,5935.96,25.16,34265
13684,India,Cassava,2009,1083.0,28707.01,26.55,343433
9903,Guyana,Yams,2000,2387.0,289.9,27.05,95100
27670,United Kingdom,Wheat,2009,1220.0,21324.22,9.9,79284
12277,India,Cassava,2000,1083.0,44957.52,25.58,269087
10891,India,Maize,1992,1083.0,70791.0,25.58,16758
17416,Kenya,Sorghum,1991,630.0,3469.0,16.26,9572
22840,Pakistan,Maize,2009,494.0,3957.61,27.41,34879
503,Argentina,Wheat,1997,591.0,77691.0,18.29,22426
1152,Australia,Potatoes,1998,534.0,37215.0,12.46,322292
12165,India,"Rice, paddy",1999,1083.0,46195.0,26.06,29782
13060,India,Sorghum,2005,1083.0,35342.0,25.72,7968
10518,India,Cassava,1990,1083.0,75000.0,24.78,205381
9997,Haiti,Sorghum,1992,1440.0,11.52,26.81,8333
8174,Egypt,Sweet potatoes,1996,51.0,4499.0,21.88,231357
11919,India,Cassava,1998,1083.0,49157.0,25.87,252815
15608,Iraq,Potatoes,2010,216.0,1612.61,25.49,157177
2503,Botswana,Sorghum,1998,416.0,17.0,20.05,3364
2757,Brazil,Maize,1992,1761.0,67003.89,27.42,22828
8833,France,"Rice, paddy",2004,867.0,76099.0,11.34,57098
17805,Lesotho,Maize,2000,788.0,0.3,14.37,6773
13903,India,Potatoes,2010,1083.0,40093.69,26.93,199299
21531,Niger,Maize,1995,151.0,62.0,29.56,12642
12381,India,Soybeans,2000,1083.0,44957.52,25.62,8222
11961,India,Potatoes,1998,1083.0,49157.0,26.69,146020
13635,India,Sweet potatoes,2008,1083.0,14485.33,25.3,88943
917,Australia,Soybeans,1992,534.0,22234.0,19.79,21141
11443,India,Potatoes,1995,1083.0,61257.0,26.72,162720
4187,Brazil,Soybeans,2007,1761.0,304031.0,27.32,28133
17642,Latvia,Wheat,1997,641.0,334.0,6.17,25909
9582,Guatemala,Cassava,2002,1996.0,10381.71,19.93,13713
3826,Brazil,Yams,2002,1761.0,145552.0,26.01,92000
15028,Indonesia,Maize,2004,2702.0,1597.0,26.97,33439
26367,Thailand,Potatoes,2000,1622.0,20334.0,27.52,130776
18590,Mali,"Rice, paddy",1999,282.0,19.82,27.26,22366
3499,Brazil,Sweet potatoes,1999,1761.0,127585.0,21.59,109463
27684,United Kingdom,Potatoes,2011,1220.0,16401.66,10.63,432192
5957,Canada,Wheat,2006,537.0,36572.75,9.83,26096
24573,South Africa,Soybeans,1990,495.0,16582.0,18.91,19377
22087,Pakistan,Maize,1996,494.0,11955.0,18.72,15884
18515,Mali,Cassava,1991,282.0,54.63,27.58,72859
23927,Romania,Sorghum,2011,637.0,6582.9,11.26,31313
9290,Ghana,Plantains and others,2010,1187.0,378.97,27.57,107868
23126,Pakistan,Soybeans,2013,494.0,0.92,27.9,7222
11271,India,Potatoes,1994,1083.0,61357.0,25.95,166101
23487,Peru,"Rice, paddy",2010,1738.0,15590.54,16.97,72850
9836,Guinea,Cassava,2012,1651.0,770.21,27.28,69200
26882,Turkey,Maize,2005,593.0,40332.0,12.2,70000
5079,Burkina Faso,Potatoes,2006,748.0,109.24,28.92,20000
18738,Mauritania,Sweet potatoes,1993,92.0,39.09,27.37,10000
13172,India,Maize,2006,1083.0,37423.0,27.47,19125
20293,Mexico,Sorghum,2011,758.0,65961.1,16.26,37202
8912,Germany,Wheat,1991,700.0,32006.0,9.36,67712
14713,Indonesia,"Rice, paddy",1994,2702.0,1597.0,27.12,43453
1070,Australia,Potatoes,1996,534.0,31185.0,19.13,312853
2183,Bangladesh,"Rice, paddy",1998,2666.0,2068.0,26.13,29358
27336,Uganda,Soybeans,2011,1180.0,88.0,23.89,7000
21899,Pakistan,Maize,1993,494.0,4945.0,23.08,13983
11459,India,"Rice, paddy",1995,1083.0,61257.0,25.55,26972
12872,India,"Rice, paddy",2004,1083.0,35113.0,25.32,29756
7903,Ecuador,"Rice, paddy",2007,2274.0,14156.16,17.44,43555
562,Argentina,Sorghum,2001,591.0,63700.17,18.42,47429
26470,Tunisia,Wheat,1994,207.0,909.0,19.93,10694
7403,Dominican Republic,"Rice, paddy",2010,1410.0,6316.61,27.01,47651
7236,Dominican Republic,Maize,1999,1410.0,5398.0,26.66,12633
22985,Pakistan,"Rice, paddy",2011,494.0,1979.27,24.98,35939
18472,Malaysia,"Rice, paddy",2005,2875.0,39406.48,27.59,34221
10793,India,Soybeans,1991,1083.0,72133.0,25.82,7825
18599,Mali,"Rice, paddy",2000,282.0,17.59,27.51,21058
16401,Japan,Potatoes,1995,1668.0,79821.18,15.32,323558
5285,Burundi,Cassava,2007,1274.0,412.66,21.28,87275
2809,Brazil,Sweet potatoes,1992,1761.0,67003.89,17.8,104452
16841,Japan,Sweet potatoes,2006,1668.0,65248.26,15.45,242377
16887,Japan,Wheat,2007,1668.0,61164.07,16.55,43400
3452,Brazil,Maize,1999,1761.0,127585.0,25.88,27765
6706,Colombia,Plantains and others,2000,3240.0,75843.0,22.01,72291
15100,Indonesia,Maize,2006,2702.0,1597.0,26.98,34699
390,Argentina,Sweet potatoes,1990,591.0,26156.0,17.67,131864
14009,India,Wheat,2010,1083.0,40093.69,26.31,28395
827,Australia,Sorghum,1990,534.0,17866.0,20.06,24883
3962,Brazil,"Rice, paddy",2005,1761.0,232232.0,20.78,33691
23970,Rwanda,Maize,1993,1212.0,127.4,19.53,17400
24949,South Africa,Maize,2005,495.0,26857.0,19.74,36351
4564,Brazil,"Rice, paddy",2011,1761.0,345026.0,24.32,48956
4061,Brazil,"Rice, paddy",2006,1761.0,238716.0,20.6,38798
8217,Egypt,Wheat,1999,51.0,4823.0,21.46,63467
25759,Sri Lanka,Sorghum,1999,1712.0,1766.91,26.32,7000
28000,Zambia,Sweet potatoes,2006,1020.0,1670.0,21.05,31527
17589,Kenya,Wheat,2009,630.0,1578.0,17.3,16665
22304,Pakistan,Sorghum,1999,494.0,20450.0,23.8,6167
16813,Japan,Maize,2006,1668.0,65248.26,15.87,25324
18868,Mauritania,Potatoes,2013,92.0,26.41,28.24,62857
5674,Canada,Maize,1994,537.0,29206.0,6.52,73748
8269,Egypt,Soybeans,2004,51.0,5363.0,21.06,30266
19311,Mexico,Potatoes,1995,758.0,34468.93,16.68,199803
10740,India,Potatoes,1991,1083.0,72133.0,24.62,162540
1638,Australia,Sweet potatoes,2010,534.0,42169.39,12.37,305974
5889,Canada,Wheat,2002,537.0,34226.0,7.82,18324
2654,Brazil,Maize,1991,1761.0,58349.44,17.95,18084
20838,Mozambique,"Rice, paddy",1996,1032.0,65.85,21.53,9653
6789,Colombia,Yams,2005,3240.0,117881.45,27.56,117678
5897,Canada,Potatoes,2004,537.0,36138.0,8.63,123630
10584,India,"Rice, paddy",1990,1083.0,75000.0,24.78,26125
24382,Senegal,Maize,1998,686.0,450.71,26.03,8255
26793,Turkey,Soybeans,2000,593.0,33471.0,14.29,29667
5426,Cameroon,Wheat,1997,1604.0,630.12,24.98,13264
19452,Mexico,"Rice, paddy",1997,758.0,34468.93,19.65,41365
160,Algeria,"Rice, paddy",2002,89.0,816.55,17.85,12959
2918,Brazil,Wheat,1993,1761.0,75658.33,17.93,14825
6659,Colombia,Soybeans,1997,3240.0,16005.0,27.54,20780
15721,Italy,Sorghum,1991,832.0,88916.6,12.05,55089
1540,Australia,Sorghum,2008,534.0,42935.38,16.7,40252
22388,Pakistan,Wheat,2000,494.0,27885.0,27.73,24907
19792,Mexico,Sweet potatoes,2002,758.0,16189.88,21.5,184236
24063,Rwanda,Sorghum,2004,1212.0,159.54,19.93,9134
16476,Japan,Yams,1996,1668.0,79821.18,12.61,194514
21811,Pakistan,Sweet potatoes,1991,494.0,5962.0,22.48,101190
26203,Tajikistan,Sorghum,1997,691.0,751.31,8.69,8883
3036,Brazil,Yams,1994,1761.0,84312.78,25.42,91667
3781,Brazil,Sorghum,2002,1761.0,145552.0,19.49,18573
5859,Canada,Soybeans,2001,537.0,38456.0,7.77,15298
11325,India,Soybeans,1994,1083.0,61357.0,25.01,9106
1341,Australia,Soybeans,2002,534.0,26651.0,17.73,19487
12607,India,Wheat,2001,1083.0,43720.04,25.82,27081
8444,El Salvador,Potatoes,1995,1784.0,3475.08,26.05,140000
5598,Canada,Wheat,1990,537.0,29568.0,6.07,22769
720,Argentina,"Rice, paddy",2012,591.0,136185.08,18.43,66617
7020,Croatia,Maize,2010,1113.0,1540.0,10.0,69678
7686,Ecuador,"Rice, paddy",1998,2274.0,21500.0,22.59,32060
